Topic 1,Topic 2,Topic 3,Topic 4
ENSG00000117586,ENSG00000185955,ENSG00000274818,ENSG00000145779
ENSG00000196787,ENSG00000105255,ENSG00000115896,ENSG00000263528
ENSG00000272825,ENSG00000166676,ENSG00000236060,ENSG00000203497
ENSG00000274020,ENSG00000159784,ENSG00000279026,ENSG00000255026
ENSG00000188765,ENSG00000176049,ENSG00000136378,ENSG00000169750
ENSG00000073861,ENSG00000272056,ENSG00000180881,ENSG00000272601
ENSG00000246582,ENSG00000070808,ENSG00000181619,ENSG00000146904
ENSG00000139187,ENSG00000133878,ENSG00000170276,ENSG00000204991
ENSG00000096996,ENSG00000250486,ENSG00000279041,ENSG00000244161
ENSG00000236383,ENSG00000159409,ENSG00000253731,ENSG00000204262
ENSG00000255443,ENSG00000178882,ENSG00000134874,ENSG00000178222
ENSG00000236675,ENSG00000185774,ENSG00000078018,ENSG00000084636
ENSG00000185955,ENSG00000245526,ENSG00000147862,ENSG00000203780
ENSG00000105255,ENSG00000104112,ENSG00000106571,ENSG00000139926
ENSG00000105369,ENSG00000203930,ENSG00000162409,ENSG00000115648
ENSG00000145779,ENSG00000178233,ENSG00000143341,ENSG00000147862
ENSG00000112137,ENSG00000173805,ENSG00000130037,ENSG00000114790
ENSG00000144554,,ENSG00000139910,ENSG00000058085
ENSG00000196866,,ENSG00000185345,ENSG00000087510
ENSG00000137804,,,
ENSG00000271614,,,
ENSG00000160117,,,
